Entity,Code,Year,Total number of people affected by natural disasters (affected)
All natural disasters,,1900,0
All natural disasters,,1901,0
All natural disasters,,1902,0
All natural disasters,,1903,23
All natural disasters,,1904,0
All natural disasters,,1905,18
All natural disasters,,1906,0
All natural disasters,,1907,90000
All natural disasters,,1908,150000
All natural disasters,,1909,0
All natural disasters,,1910,32000
All natural disasters,,1911,399
All natural disasters,,1912,99095
All natural disasters,,1913,0
All natural disasters,,1914,20
All natural disasters,,1915,3000022
All natural disasters,,1916,0
All natural disasters,,1917,635000
All natural disasters,,1918,0
All natural disasters,,1919,0
All natural disasters,,1920,20000650
All natural disasters,,1921,5000000
All natural disasters,,1922,11000
All natural disasters,,1923,230033
All natural disasters,,1924,1011250
All natural disasters,,1925,0
All natural disasters,,1926,40000
All natural disasters,,1927,40060
All natural disasters,,1928,8209
All natural disasters,,1929,1121
All natural disasters,,1930,22208
All natural disasters,,1931,36882
All natural disasters,,1932,5575
All natural disasters,,1933,3600000
All natural disasters,,1934,1189
All natural disasters,,1935,10030500
All natural disasters,,1936,150020
All natural disasters,,1937,7500
All natural disasters,,1938,5510
All natural disasters,,1939,62468
All natural disasters,,1940,2000
All natural disasters,,1941,0
All natural disasters,,1942,16
All natural disasters,,1943,54131
All natural disasters,,1944,183100
All natural disasters,,1945,1883672
All natural disasters,,1946,2500
All natural disasters,,1947,0
All natural disasters,,1948,420453
All natural disasters,,1949,299574
All natural disasters,,1950,10814317
All natural disasters,,1951,572384
All natural disasters,,1952,1001731
All natural disasters,,1953,3241265
All natural disasters,,1954,432746
All natural disasters,,1955,379147
All natural disasters,,1956,1079589
All natural disasters,,1957,536799
All natural disasters,,1958,26019
All natural disasters,,1959,1514600
All natural disasters,,1960,2843627
All natural disasters,,1961,1313555
All natural disasters,,1962,143267
All natural disasters,,1963,6183053
All natural disasters,,1964,7887577
All natural disasters,,1965,122982091
All natural disasters,,1966,12405622
All natural disasters,,1967,6489729
All natural disasters,,1968,26624718
All natural disasters,,1969,12093299
All natural disasters,,1970,47191516
All natural disasters,,1971,11721661
All natural disasters,,1972,219154661
All natural disasters,,1973,11887716
All natural disasters,,1974,45038113
All natural disasters,,1975,40137726
All natural disasters,,1976,24395774
All natural disasters,,1977,27817895
All natural disasters,,1978,52864148
All natural disasters,,1979,61162043
All natural disasters,,1980,75439511
All natural disasters,,1981,31955251
All natural disasters,,1982,150943333
All natural disasters,,1983,105624013
All natural disasters,,1984,64269107
All natural disasters,,1985,27976075
All natural disasters,,1986,31793955
All natural disasters,,1987,373641201
All natural disasters,,1988,206539738
All natural disasters,,1989,172701162
All natural disasters,,1990,84339147
All natural disasters,,1991,283515521
All natural disasters,,1992,67878349
All natural disasters,,1993,171399524
All natural disasters,,1994,267348327
All natural disasters,,1995,222286804
All natural disasters,,1996,219310219
All natural disasters,,1997,70012955
All natural disasters,,1998,342839928
All natural disasters,,1999,280875231
All natural disasters,,2000,173153905
All natural disasters,,2001,108735772
All natural disasters,,2002,658053168
All natural disasters,,2003,254954552
All natural disasters,,2004,161718760
All natural disasters,,2005,160249354
All natural disasters,,2006,126009007
All natural disasters,,2007,212389935
All natural disasters,,2008,221418663
All natural disasters,,2009,200797393
All natural disasters,,2010,256769089
All natural disasters,,2011,211635602
All natural disasters,,2012,111280852
All natural disasters,,2013,96592911
All natural disasters,,2014,140962665
All natural disasters,,2015,433859824
All natural disasters,,2016,202077871
All natural disasters,,2017,92643051
All natural disasters,,2018,60151475
Drought,,1910,32000
Drought,,1920,20000000
Drought,,1921,5000000
Drought,,1931,25000
Drought,,1963,13400
Drought,,1964,2596000
Drought,,1965,101966000
Drought,,1966,360000
Drought,,1967,2878483
Drought,,1968,1114217
Drought,,1969,8971604
Drought,,1970,10087600
Drought,,1971,999000
Drought,,1972,204815000
Drought,,1973,3000000
Drought,,1974,737000
Drought,,1976,3120000
Drought,,1977,8408400
Drought,,1978,6547885
Drought,,1979,25992000
Drought,,1980,9640100
Drought,,1981,7410000
Drought,,1982,104237300
Drought,,1983,79384109
Drought,,1984,3252000
Drought,,1985,500000
Drought,,1986,851000
Drought,,1987,317012367
Drought,,1988,54199500
Drought,,1989,17060000
Drought,,1990,16804342
Drought,,1991,30152000
Drought,,1992,28531500
Drought,,1993,3531507
Drought,,1994,95015000
Drought,,1995,10871994
Drought,,1996,3342000
Drought,,1997,8573300
Drought,,1998,14054335
Drought,,1999,99037545
Drought,,2000,81225415
Drought,,2001,32081154
Drought,,2002,377556935
Drought,,2003,67732075
Drought,,2004,17971500
Drought,,2005,29550990
Drought,,2006,23857000
Drought,,2007,5278144
Drought,,2008,34068000
Drought,,2009,86295500
Drought,,2010,49372978
Drought,,2011,30423194
Drought,,2012,23563085
Drought,,2013,7955904
Drought,,2014,68995761
Drought,,2015,385949915
Drought,,2016,27411600
Drought,,2017,10311874
Drought,,2018,6368345
Earthquake,,1907,90000
Earthquake,,1908,150000
Earthquake,,1912,1575
Earthquake,,1914,20
Earthquake,,1920,650
Earthquake,,1923,203733
Earthquake,,1924,11250
Earthquake,,1927,50
Earthquake,,1928,209
Earthquake,,1929,1121
Earthquake,,1930,10208
Earthquake,,1931,11882
Earthquake,,1932,3075
Earthquake,,1934,1189
Earthquake,,1936,20
Earthquake,,1938,5510
Earthquake,,1939,58568
Earthquake,,1942,16
Earthquake,,1943,21131
Earthquake,,1944,155000
Earthquake,,1948,6000
Earthquake,,1949,105528
Earthquake,,1950,40200
Earthquake,,1951,150
Earthquake,,1952,450
Earthquake,,1953,50155
Earthquake,,1954,129851
Earthquake,,1955,2141
Earthquake,,1956,2589
Earthquake,,1957,15248
Earthquake,,1958,1019
Earthquake,,1960,2029250
Earthquake,,1962,103267
Earthquake,,1963,3843
Earthquake,,1964,116461
Earthquake,,1965,239673
Earthquake,,1966,376245
Earthquake,,1967,547179
Earthquake,,1968,172927
Earthquake,,1969,339664
Earthquake,,1970,3416258
Earthquake,,1971,2442858
Earthquake,,1972,2318908
Earthquake,,1973,3809
Earthquake,,1974,93947
Earthquake,,1975,53372
Earthquake,,1976,6391373
Earthquake,,1977,918507
Earthquake,,1978,650499
Earthquake,,1979,448626
Earthquake,,1980,1635540
Earthquake,,1981,158268
Earthquake,,1982,509494
Earthquake,,1983,1000266
Earthquake,,1984,792661
Earthquake,,1985,3709483
Earthquake,,1986,1108400
Earthquake,,1987,427846
Earthquake,,1988,23289422
Earthquake,,1989,353624
Earthquake,,1990,2596596
Earthquake,,1991,977815
Earthquake,,1992,768316
Earthquake,,1993,225272
Earthquake,,1994,791945
Earthquake,,1995,1940555
Earthquake,,1996,5490181
Earthquake,,1997,1297003
Earthquake,,1998,3677863
Earthquake,,1999,6856843
Earthquake,,2000,2478559
Earthquake,,2001,9711283
Earthquake,,2002,849703
Earthquake,,2003,4194467
Earthquake,,2004,3147205
Earthquake,,2005,6187464
Earthquake,,2006,3858839
Earthquake,,2007,1382384
Earthquake,,2008,47512472
Earthquake,,2009,3221122
Earthquake,,2010,6936980
Earthquake,,2011,1747534
Earthquake,,2012,2859922
Earthquake,,2013,7117775
Earthquake,,2014,3169208
Earthquake,,2015,7228686
Earthquake,,2016,1185081
Earthquake,,2017,325267
Earthquake,,2018,1517138
Extreme temperature,,1975,600
Extreme temperature,,1982,200
Extreme temperature,,1983,2700
Extreme temperature,,1985,7085
Extreme temperature,,1986,30000
Extreme temperature,,1987,17
Extreme temperature,,1988,200
Extreme temperature,,1990,1000000
Extreme temperature,,1991,450
Extreme temperature,,1992,16000
Extreme temperature,,1993,3000760
Extreme temperature,,1994,1108184
Extreme temperature,,1995,535278
Extreme temperature,,1996,200
Extreme temperature,,1997,712180
Extreme temperature,,1998,36386
Extreme temperature,,1999,725246
Extreme temperature,,2000,27686
Extreme temperature,,2001,213161
Extreme temperature,,2002,103986
Extreme temperature,,2003,1840088
Extreme temperature,,2004,2139880
Extreme temperature,,2005,2246
Extreme temperature,,2006,61754
Extreme temperature,,2007,988088
Extreme temperature,,2008,79171184
Extreme temperature,,2009,856167
Extreme temperature,,2010,72761
Extreme temperature,,2011,4369505
Extreme temperature,,2012,611225
Extreme temperature,,2013,190016
Extreme temperature,,2014,1227698
Extreme temperature,,2015,1260553
Extreme temperature,,2016,908120
Extreme temperature,,2017,1827759
Extreme temperature,,2018,396798
Extreme weather,,1912,97520
Extreme weather,,1923,26300
Extreme weather,,1924,1000000
Extreme weather,,1926,40000
Extreme weather,,1927,40010
Extreme weather,,1930,12000
Extreme weather,,1932,2500
Extreme weather,,1935,500
Extreme weather,,1936,150000
Extreme weather,,1943,30000
Extreme weather,,1944,12000
Extreme weather,,1945,1883672
Extreme weather,,1948,414453
Extreme weather,,1949,194046
Extreme weather,,1950,642117
Extreme weather,,1951,80200
Extreme weather,,1952,1001252
Extreme weather,,1953,1000000
Extreme weather,,1954,297049
Extreme weather,,1955,375000
Extreme weather,,1956,1000000
Extreme weather,,1957,250111
Extreme weather,,1958,20000
Extreme weather,,1959,1501600
Extreme weather,,1960,645377
Extreme weather,,1961,9171
Extreme weather,,1962,40000
Extreme weather,,1963,6002200
Extreme weather,,1964,2896179
Extreme weather,,1965,16203339
Extreme weather,,1966,2705846
Extreme weather,,1967,595097
Extreme weather,,1968,439230
Extreme weather,,1969,709344
Extreme weather,,1970,5494357
Extreme weather,,1971,7092697
Extreme weather,,1972,7704225
Extreme weather,,1973,3660406
Extreme weather,,1974,998843
Extreme weather,,1975,879306
Extreme weather,,1976,4717645
Extreme weather,,1977,14791032
Extreme weather,,1978,3146099
Extreme weather,,1979,4055063
Extreme weather,,1980,18901624
Extreme weather,,1981,3547848
Extreme weather,,1982,8449751
Extreme weather,,1983,3493002
Extreme weather,,1984,8528560
Extreme weather,,1985,6040374
Extreme weather,,1986,14700946
Extreme weather,,1987,5882887
Extreme weather,,1988,21033930
Extreme weather,,1989,50826395
Extreme weather,,1990,17264598
Extreme weather,,1991,23303867
Extreme weather,,1992,18486817
Extreme weather,,1993,15058771
Extreme weather,,1994,37041141
Extreme weather,,1995,14325620
Extreme weather,,1996,27779106
Extreme weather,,1997,14683390
Extreme weather,,1998,31021434
Extreme weather,,1999,25101853
Extreme weather,,2000,15136491
Extreme weather,,2001,31991261
Extreme weather,,2002,111162612
Extreme weather,,2003,11092669
Extreme weather,,2004,21382963
Extreme weather,,2005,49124384
Extreme weather,,2006,67109232
Extreme weather,,2007,23999245
Extreme weather,,2008,15651774
Extreme weather,,2009,50582778
Extreme weather,,2010,8931015
Extreme weather,,2011,38576882
Extreme weather,,2012,20265489
Extreme weather,,2013,48848132
Extreme weather,,2014,25790698
Extreme weather,,2015,10432128
Extreme weather,,2016,93822486
Extreme weather,,2017,20822063
Extreme weather,,2018,13723432
Flood,,1915,3000000
Flood,,1917,635000
Flood,,1928,8000
Flood,,1933,3600000
Flood,,1935,10030000
Flood,,1940,2000
Flood,,1950,10132000
Flood,,1951,492034
Flood,,1953,2191110
Flood,,1956,77000
Flood,,1957,268240
Flood,,1958,5000
Flood,,1959,13000
Flood,,1960,167000
Flood,,1961,1304384
Flood,,1963,80410
Flood,,1964,2276937
Flood,,1965,4514272
Flood,,1966,4916471
Flood,,1967,2465202
Flood,,1968,24828976
Flood,,1969,1820987
Flood,,1970,28193103
Flood,,1971,1174000
Flood,,1972,4315528
Flood,,1973,5213301
Flood,,1974,43193823
Flood,,1975,39129448
Flood,,1976,9985227
Flood,,1977,3603806
Flood,,1978,42486458
Flood,,1979,30582412
Flood,,1980,45199462
Flood,,1981,20761547
Flood,,1982,37314739
Flood,,1983,20956633
Flood,,1984,51578632
Flood,,1985,17698499
Flood,,1986,12575419
Flood,,1987,50055488
Flood,,1988,107935071
Flood,,1989,104325187
Flood,,1990,46654231
Flood,,1991,227799389
Flood,,1992,19597794
Flood,,1993,149250923
Flood,,1994,129783171
Flood,,1995,193441247
Flood,,1996,182677013
Flood,,1997,44652702
Flood,,1998,293662685
Flood,,1999,149086068
Flood,,2000,73904936
Flood,,2001,34551646
Flood,,2002,167770723
Flood,,2003,169427272
Flood,,2004,116990815
Flood,,2005,75026809
Flood,,2006,30309348
Flood,,2007,178897092
Flood,,2008,44910761
Flood,,2009,59734933
Flood,,2010,188794298
Flood,,2011,136447723
Flood,,2012,63962019
Flood,,2013,32075880
Flood,,2014,41569212
Flood,,2015,27482601
Flood,,2016,78348851
Flood,,2017,58938747
Flood,,2018,35925446
Impact,,2013,301491
Landslide,,1954,5846
Landslide,,1966,4000000
Landslide,,1967,668
Landslide,,1968,897
Landslide,,1970,161
Landslide,,1971,6
Landslide,,1972,1000
Landslide,,1974,14500
Landslide,,1975,75000
Landslide,,1976,16
Landslide,,1977,150
Landslide,,1978,7
Landslide,,1979,5918
Landslide,,1980,3010
Landslide,,1981,24000
Landslide,,1982,52131
Landslide,,1983,725233
Landslide,,1984,16054
Landslide,,1985,4026
Landslide,,1986,2500700
Landslide,,1987,36159
Landslide,,1988,65145
Landslide,,1989,99956
Landslide,,1991,88528
Landslide,,1992,75860
Landslide,,1993,155691
Landslide,,1994,309049
Landslide,,1995,1134395
Landslide,,1996,8936
Landslide,,1997,33951
Landslide,,1998,212813
Landslide,,1999,15291
Landslide,,2000,215157
Landslide,,2001,71037
Landslide,,2002,304735
Landslide,,2003,458648
Landslide,,2004,12377
Landslide,,2005,9554
Landslide,,2006,432156
Landslide,,2007,9002
Landslide,,2008,5149
Landslide,,2009,44754
Landslide,,2010,2459905
Landslide,,2011,7253
Landslide,,2012,3716
Landslide,,2013,1034
Landslide,,2014,18747
Landslide,,2015,50156
Landslide,,2016,243443
Landslide,,2017,197597
Landslide,,2018,54908
Mass movement (dry),,1903,23
Mass movement (dry),,1905,18
Mass movement (dry),,1915,22
Mass movement (dry),,1955,2006
Mass movement (dry),,1965,22
Mass movement (dry),,1970,37
Mass movement (dry),,1971,1500
Mass movement (dry),,1982,200
Mass movement (dry),,1983,15
Mass movement (dry),,1987,1207
Mass movement (dry),,1988,1000
Mass movement (dry),,1989,8000
Mass movement (dry),,1990,5115
Mass movement (dry),,1992,3219
Mass movement (dry),,1993,2711
Mass movement (dry),,2004,353
Mass movement (dry),,2006,5
Mass movement (dry),,2008,697
Mass movement (dry),,2009,3028
Mass movement (dry),,2013,2
Mass movement (dry),,2018,0
Volcanic activity,,1911,199
Volcanic activity,,1937,7500
Volcanic activity,,1943,3000
Volcanic activity,,1944,14000
Volcanic activity,,1946,2500
Volcanic activity,,1952,29
Volcanic activity,,1957,3200
Volcanic activity,,1960,2000
Volcanic activity,,1963,83200
Volcanic activity,,1964,2000
Volcanic activity,,1965,58785
Volcanic activity,,1966,47060
Volcanic activity,,1968,66671
Volcanic activity,,1969,251700
Volcanic activity,,1971,11600
Volcanic activity,,1973,5200
Volcanic activity,,1976,181513
Volcanic activity,,1977,96000
Volcanic activity,,1978,26000
Volcanic activity,,1979,48024
Volcanic activity,,1980,54735
Volcanic activity,,1981,5000
Volcanic activity,,1982,370500
Volcanic activity,,1983,50035
Volcanic activity,,1984,101000
Volcanic activity,,1985,13778
Volcanic activity,,1986,23437
Volcanic activity,,1987,16035
Volcanic activity,,1988,15470
Volcanic activity,,1989,3000
Volcanic activity,,1990,14265
Volcanic activity,,1991,1193164
Volcanic activity,,1992,346653
Volcanic activity,,1993,173759
Volcanic activity,,1994,232424
Volcanic activity,,1995,25876
Volcanic activity,,1996,6572
Volcanic activity,,1997,7200
Volcanic activity,,1998,7808
Volcanic activity,,1999,33555
Volcanic activity,,2000,126626
Volcanic activity,,2001,110491
Volcanic activity,,2002,278350
Volcanic activity,,2003,25000
Volcanic activity,,2004,53148
Volcanic activity,,2005,341000
Volcanic activity,,2006,378611
Volcanic activity,,2007,50963
Volcanic activity,,2008,39958
Volcanic activity,,2009,47537
Volcanic activity,,2010,170661
Volcanic activity,,2011,48804
Volcanic activity,,2012,10000
Volcanic activity,,2013,93846
Volcanic activity,,2014,179654
Volcanic activity,,2015,956092
Volcanic activity,,2017,149000
Volcanic activity,,2018,1908770
Wildfire,,1911,200
Wildfire,,1922,11000
Wildfire,,1939,3900
Wildfire,,1944,2100
Wildfire,,1967,3100
Wildfire,,1968,1800
Wildfire,,1973,5000
Wildfire,,1978,7200
Wildfire,,1979,30000
Wildfire,,1980,5040
Wildfire,,1981,48588
Wildfire,,1982,9018
Wildfire,,1983,12020
Wildfire,,1984,200
Wildfire,,1985,2830
Wildfire,,1986,4053
Wildfire,,1987,209195
Wildfire,,1989,25000
Wildfire,,1991,308
Wildfire,,1992,52190
Wildfire,,1993,130
Wildfire,,1994,3067413
Wildfire,,1995,11839
Wildfire,,1996,6211
Wildfire,,1997,53229
Wildfire,,1998,166604
Wildfire,,1999,18830
Wildfire,,2000,39035
Wildfire,,2001,5739
Wildfire,,2002,26124
Wildfire,,2003,184333
Wildfire,,2004,20519
Wildfire,,2005,6907
Wildfire,,2006,2062
Wildfire,,2007,1785017
Wildfire,,2008,58668
Wildfire,,2009,11574
Wildfire,,2010,30491
Wildfire,,2011,14707
Wildfire,,2012,5396
Wildfire,,2013,8831
Wildfire,,2014,11687
Wildfire,,2015,499693
Wildfire,,2016,158290
Wildfire,,2017,70744
Wildfire,,2018,256638